total time to compute on CPU: 0.060341
total time to compute on GPU: 0.266907
Is the host computation the same as the GPU computation? : True
         182007 function calls (177101 primitive calls) in 3.964 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      103    0.000    0.000    0.000    0.000 sre_parse.py:190(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:1416(get_metadata)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
       28    0.000    0.000    0.000    0.000 __init__.py:685(add)
      133    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
       18    0.000    0.000    0.000    0.000 __init__.py:1967(find_distributions)
       14    0.000    0.000    0.000    0.000 __init__.py:2870(insert_on)
        1    0.000    0.000    0.000    0.000 core.py:6265(__new__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
        5    0.000    0.000    0.000    0.000 ssl.py:115(_import_symbols)
       28    0.000    0.000    0.000    0.000 __init__.py:1406(_get_metadata_path)
      710    0.000    0.000    0.000    0.000 {setattr}
        4    0.000    0.000    0.000    0.000 textwrap.py:374(dedent)
      200    0.000    0.000    0.000    0.000 sre_parse.py:75(opengroup)
       29    0.000    0.000    0.000    0.000 __init__.py:1486(_fn)
       38    0.000    0.000    0.000    0.000 version.py:236(__str__)
     1397    0.000    0.000    0.000    0.000 {_sre.getlower}
       31    0.000    0.000    0.000    0.000 inspect.py:743(getargs)
  105/102    0.000    0.000    0.000    0.000 pyparsing.py:372(__init__)
     2321    0.000    0.000    0.000    0.000 {ord}
      272    0.000    0.000    0.000    0.000 function_base.py:431(_add_docstring)
       70    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
     1258    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      625    0.000    0.000    0.000    0.000 {range}
       73    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
       27    0.000    0.000    0.000    0.000 _dtype.py:319(_name_get)
       27    0.000    0.000    0.000    0.000 core.py:919(__init__)
        1    0.000    0.000    0.000    0.000 characterize.py:1(<module>)
       47    0.000    0.000    0.000    0.000 posixpath.py:132(islink)
        1    0.000    0.000    0.000    0.000 type_check.py:3(<module>)
      103    0.000    0.000    0.000    0.000 {_sre.compile}
